run_idx,repeat,model,width,height,precision,target_fps,output_stream,duration_s,n_timed,fps_mean,fps_p50,fps_p95,fps_min,fps_max,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_min_ms,latency_max_ms,capture_lat_mean_ms,preprocess_lat_mean_ms,infer_lat_mean_ms,infer_fused_lat_mean_ms,postprocess_lat_mean_ms,filter_lat_mean_ms,annotate_lat_mean_ms,encode_lat_mean_ms,capture_lat_p50_ms,preprocess_lat_p50_ms,infer_lat_p50_ms,infer_fused_lat_p50_ms,postprocess_lat_p50_ms,filter_lat_p50_ms,annotate_lat_p50_ms,encode_lat_p50_ms,capture_lat_p95_ms,preprocess_lat_p95_ms,infer_lat_p95_ms,infer_fused_lat_p95_ms,postprocess_lat_p95_ms,filter_lat_p95_ms,annotate_lat_p95_ms,encode_lat_p95_ms,energy_total_j,mean_power_w,energy_per_frame_j,energy_per_inference_j,cpu_rail_j,gpu_rail_j,io_rail_j,capture_energy_j,preprocess_energy_j,infer_energy_j,infer_fused_energy_j,postprocess_energy_j,filter_energy_j,annotate_energy_j,encode_energy_j,capture_energy_pct,preprocess_energy_pct,infer_energy_pct,infer_fused_energy_pct,postprocess_energy_pct,filter_energy_pct,annotate_energy_pct,encode_energy_pct,idle_j,idle_pct,status,error,run_dir
12,2,yolov8n,640,480,fp32,15,none,60.06,900,14.984950724396198,14.985176064430021,14.985874487046356,14.980084202753702,14.987185656519962,19.621443333333332,19.584,19.9376,18.396,24.293,0.5223168911111111,,,18.78221613888889,,0.3088766511111111,,,0.5180685,,,18.748127,,0.29436999999999997,,,0.5415441499999999,,,19.0791021,,0.41370864999999996,,,777.71,12.9488,0.864122,0.864122,139.0085,425.3742,213.3273,7.61336,,,325.660364,,3.112349,,,0.98,,,41.87,,0.4,,,441.3239,56.75,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps15_r2
13,0,yolov8n,640,480,fp32,20,none,60.03,1199,19.973497246615242,19.973956158304766,19.975280650121313,19.96194813522567,19.991199873815543,19.348682235195998,19.322,19.7096,17.747,23.65,0.5216495421184321,,,18.52730562885738,,0.2915693319432861,,,0.5178889999999999,,,18.502836,,0.28845,,,0.5447379999999999,,,18.869859499999997,,0.31116669999999996,,,831.0519,13.844,0.693121,0.693121,148.6937,461.8191,220.5391,10.173214,,,429.685315,,3.909493,,,1.22,,,51.7,,0.47,,,387.2839,46.6,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps20_r0
14,1,yolov8n,640,480,fp32,20,none,60.029,1199,19.97362944756181,19.974032359750062,19.975209745970094,19.949781213741897,19.992655098369962,19.87691743119266,19.832,20.1523,19.531,24.306,0.5100631901584655,,,19.061577077564635,,0.29663743286071725,,,0.506752,,,19.019506,,0.29459199999999996,,,0.5299839999999999,,,19.301095599999996,,0.3127615999999999,,,832.735,13.8722,0.694525,0.694525,148.8695,463.0701,220.7955,9.911761,,,438.298988,,3.99565,,,1.19,,,52.63,,0.48,,,380.5286,45.7,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps20_r1
15,2,yolov8n,640,480,fp32,20,none,60.029,1199,19.97372795374748,19.974145865075165,19.97543161739092,19.959539618049458,19.99065716646668,19.73827439532944,19.687,20.1132,19.295,24.035,0.5221770133444537,,,18.910645236030025,,0.2976677723102585,,,0.518623,,,18.861451,,0.295807,,,0.5440651,,,19.2643536,,0.31638619999999995,,,835.6871,13.9214,0.696987,0.696987,150.3969,463.4394,221.8508,10.25312,,,437.553855,,4.013121,,,1.23,,,52.36,,0.48,,,383.867,45.93,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps20_r2
16,0,yolov8n,640,480,fp32,25,none,60.016,1498,24.960125621825146,24.960293165632113,24.961520443352985,24.939800932005348,24.986482937392942,19.278389853137515,19.261,19.4773,19.005,23.784,0.5100900387182911,,,18.474963641522027,,0.2858361068090788,,,0.5072604999999999,,,18.4579485,,0.284479,,,0.527581,,,18.66243535,,0.30365165,,,886.4682,14.7706,0.591768,0.591768,157.5561,500.6549,228.2572,12.636492,,,537.778529,,4.819719,,,1.43,,,60.67,,0.54,,,331.2334,37.37,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps25_r0
17,1,yolov8n,640,480,fp32,25,none,60.017,1498,24.959581652072778,24.959928083458408,24.961281308498386,24.943613714018774,24.985991603807324,19.573427236315087,19.551,19.8353,19.197,23.738,0.5118595100133512,,,18.756687900534043,,0.29700026769025367,,,0.5081555,,,18.737868499999998,,0.2922855,,,0.5316111499999999,,,18.9779314,,0.31286345,,,885.9949,14.7624,0.591452,0.591452,157.5975,500.498,227.8995,12.548202,,,542.134474,,4.990014,,,1.42,,,61.19,,0.56,,,326.3223,36.83,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps25_r1
18,2,yolov8n,640,480,fp32,25,none,60.017,1498,24.959633636058065,24.960035862579527,24.961677958341575,24.94163221582932,24.989520020041592,19.365192923898533,19.341,19.592299999999998,19.016,23.617,0.5122988518024032,,,18.560251969292388,,0.2842816181575434,,,0.5097864999999999,,,18.53945,,0.282749,,,0.5292788,,,18.76817615,,0.3013121999999999,,,886.229,14.7663,0.591608,0.591608,156.9578,501.4152,227.856,12.571756,,,539.492014,,4.793105,,,1.42,,,60.88,,0.54,,,329.3721,37.17,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps25_r2
19,0,yolov8n,640,480,fp32,30,none,60.017,1797,29.941564260725922,29.94216550963155,29.9444700016337,29.91477102247072,29.983764091582046,19.59595603784085,19.562,19.856,19.208,26.715,0.5103549977740679,,,18.7833504229271,,0.2941111202003339,,,0.50793,,,18.752098999999998,,0.292413,,,0.5248385999999999,,,19.025053200000002,,0.31387119999999996,,,940.4088,15.6691,0.523322,0.523322,165.8908,539.8373,234.6807,15.086806,,,651.920305,,5.936112,,,1.6,,,69.32,,0.63,,,267.4656,28.44,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps30_r0
20,1,yolov8n,640,480,fp32,30,none,60.016,1797,29.94207747556653,29.94232688649088,29.944183293736074,29.912468638646164,29.983408081469953,19.65579577072899,19.707,19.9814,17.925,23.816,0.511756411240957,,,18.843839840289373,,0.29301466221480243,,,0.509722,,,18.888835,,0.293468,,,0.5291002,,,19.1500812,,0.347591999999999,,,943.1244,15.7146,0.524833,0.524833,167.9078,539.7186,235.498,15.112278,,,654.868237,,5.938121,,,1.6,,,69.44,,0.63,,,267.2058,28.33,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps30_r1
21,2,yolov8n,640,480,fp32,30,none,60.017,1797,29.941718953289342,29.942047615970065,29.944205485943094,29.889097996339483,29.985359048737273,19.42791318864775,19.406,19.6832,18.97,23.897,0.507641999443517,,,18.59310020200334,,0.31975922370617693,,,0.504697,,,18.583990999999997,,0.289404,,,0.5240112,,,18.835023,,0.4089924,,,944.4464,15.7364,0.525568,0.525568,169.3676,539.6246,235.4542,15.0892,,,650.050309,,6.526675,,,1.6,,,68.83,,0.69,,,272.7802,28.88,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps30_r2
